지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1208.0,3.04
41113,수원시 권선구,1345.0,2.97
41115,수원시 팔달구,805.0,2.73
41117,수원시 영통구,1171.0,3.06
41131,성남시 수정구,1164.0,2.94
41133,성남시 중원구,1341.0,2.81
41135,성남시 분당구,1131.0,3.15
41150,의정부시,1762.0,3.01
41171,안양시 만안구,1223.0,2.9
41173,안양시 동안구,1197.0,2.98
41190,부천시,1675.0,3.08
41210,광명시,952.0,2.96
41220,평택시,2674.0,3.15
41250,동두천시,1810.0,2.98
41271,안산시 상록구,1840.0,2.99
41273,안산시 단원구,1353.0,2.93
41281,고양시 덕양구,1180.0,3.07
41285,고양시 일산동구,1070.0,3.06
41287,고양시 일산서구,1091.0,3.0
41290,과천시,1043.0,3.28
41310,구리시,865.0,2.93
41360,남양주시,1511.0,2.99
41370,오산시,1764.0,3.04
41390,시흥시,1507.0,3.01
41410,군포시,1426.0,3.0
41430,의왕시,849.0,2.89
41450,하남시,950.0,3.03
41461,용인시 처인구,1499.0,2.96
41463,용인시 기흥구,1306.0,3.07
41465,용인시 수지구,1512.0,3.1
41480,파주시,1380.0,2.98
41500,이천시,1478.0,3.04
41550,안성시,1168.0,2.96
41570,김포시,1572.0,3.08
41590,화성시,1822.0,3.02
41610,광주시,1335.0,2.98
41630,양주시,1409.0,2.96
41650,포천시,1487.0,2.73
41670,여주시,1256.0,2.86
41800,연천군,1453.0,2.72
41820,가평군,1278.0,2.33
41830,양평군,1056.0,2.61
