순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202203,88531,88531.0
2,경기도,파주시,헤이리예술마을,202203,23546,23546.0
3,경기도,파주시,퍼스트가든,202203,18993,18993.0
4,경기도,파주시,공릉관광지(하니랜드),202203,9454,9454.0
5,경기도,파주시,통일전망대,202203,9297,9297.0
6,경기도,파주시,서서울컨트리클럽,202203,9035,9035.0
7,경기도,파주시,벽초지수목원,202203,8998,8998.0
8,경기도,파주시,서원밸리골프클럽,202203,6960,6960.0
9,경기도,파주시,베스트밸리,202203,3765,3765.0
10,경기도,파주시,경기미래교육 파주캠퍼스,202203,3655,3655.0
11,경기도,파주시,황희선생유적지,202203,3292,3292.0
12,경기도,파주시,파주삼릉,202203,2952,2952.0
13,경기도,파주시,율곡선생유적지,202203,2599,2599.0
14,경기도,파주시,우농타조농장,202203,1832,1832.0
15,경기도,파주시,파주장릉,202203,1693,1693.0
16,경기도,파주시,소울원,202203,828,828.0
17,경기도,파주시,황포돛배,202203,551,551.0
18,경기도,파주시,쇠꼴마을,202203,372,372.0
19,경기도,파주시,산머루농원,202203,244,244.0
20,경기도,파주시,두루뫼박물관,202203,85,85.0
21,경기도,파주시,영집궁시박물관,202203,52,52.0
