순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,헤이리예술마을,202203,350,350.0
2,경기도,파주시,통일전망대,202203,244,244.0
3,경기도,파주시,황포돛배,202203,23,23.0
4,경기도,파주시,우농타조농장,202203,11,11.0
5,경기도,파주시,파주장릉,202203,4,4.0
