순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202005,126212,126212.0
2,경기도,파주시,벽초지수목원,202005,53206,53206.0
3,경기도,파주시,공릉관광지(하니랜드),202005,18510,18510.0
4,경기도,파주시,헤이리예술마을,202005,14355,14355.0
5,경기도,파주시,서서울컨트리클럽,202005,11822,11822.0
6,경기도,파주시,서원밸리골프클럽,202005,8334,8334.0
7,경기도,파주시,통일전망대,202005,7562,7562.0
8,경기도,파주시,경기미래교육 파주캠퍼스,202005,7207,7207.0
9,경기도,파주시,파주삼릉,202005,6202,6202.0
10,경기도,파주시,황희선생유적지,202005,5954,5954.0
11,경기도,파주시,소울원,202005,5311,5311.0
12,경기도,파주시,율곡선생유적지,202005,5018,5018.0
13,경기도,파주시,우농타조농장,202005,4000,4000.0
14,경기도,파주시,파주장릉,202005,3441,3441.0
15,경기도,파주시,베스트밸리,202005,3034,3034.0
16,경기도,파주시,황포돛배,202005,2270,2270.0
17,경기도,파주시,산머루농원,202005,235,235.0
18,경기도,파주시,영집궁시박물관,202005,183,183.0
19,경기도,파주시,두루뫼박물관,202005,164,164.0
20,경기도,파주시,파주임실치즈스쿨,202005,60,60.0
21,경기도,파주시,쇠꼴마을,202005,14,14.0
