업종중분류명,업체명,방문자수,순위
음식,일산칼국수/본점,44.0,1
음식,가나안덕/일산본점,35.0,2
음식,본구이/일산점,32.0,3
음식,쿠우쿠우/일산호수공원점,28.0,4
음식,돈까스클럽/일산동구점,27.0,5
음식,설문커피,20.0,6
음식,옐로커피,17.0,7
음식,포레스트아웃팅스,13.0,8
음식,맥도날드/중산DT점,13.0,9
음식,임가네한우마을/풍동점,13.0,10
쇼핑,라페스타,140.0,1
쇼핑,코스트코홀세일/일산점,110.0,2
쇼핑,벨라시타,56.0,3
쇼핑,뉴코아아울렛/일산점,49.0,4
쇼핑,이마트/풍산점,38.0,5
쇼핑,롯데백화점/일산점,34.0,6
쇼핑,홈플러스/일산점,16.0,7
쇼핑,롯데아울렛/고양터미널점,16.0,8
쇼핑,이마트/일산점,11.0,9
쇼핑,홈플러스/고양터미널점,11.0,10
문화관광,일산호수공원,116.0,1
문화관광,CGV/일산,9.0,2
문화관광,중산체육공원,7.0,3
문화관광,고양아람누리,5.0,4
문화관광,메가박스/백석,4.0,5
문화관광,고양장항야구장,3.0,6
문화관광,정발산공원,2.0,7
문화관광,롯데시네마/라페스타,2.0,8
문화관광,냉천공원,2.0,9
문화관광,메가박스/일산벨라시타,1.0,10
