유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,36.9,10.5
음식,외국식,36.9,8.9
음식,음식점기타,36.9,0.3
음식,전문음식,36.9,19.7
음식,카페/찻집,36.9,26.3
음식,한식,36.9,34.2
쇼핑,시장,21.1,1.7
쇼핑,쇼핑몰,21.1,95.4
쇼핑,기타쇼핑시설,21.1,2.9
기타관광,기타관광,15.1,100.0
문화관광,테마공원,12.4,6.0
문화관광,전시시설,12.4,3.5
문화관광,복합관광시설,12.4,12.0
문화관광,레저스포츠시설,12.4,3.3
문화관광,랜드마크관광,12.4,3.3
문화관광,도시공원,12.4,52.2
문화관광,기타문화관광지,12.4,5.0
문화관광,공연시설,12.4,14.6
레저스포츠,육상레저스포츠,6.2,89.1
레저스포츠,수상레저스포츠,6.2,6.0
레저스포츠,기타레저스포츠,6.2,4.8
숙박,캠핑,2.8,57.0
숙박,호텔,2.8,19.7
숙박,펜션/민박,2.8,0.1
숙박,콘도미니엄,2.8,2.4
숙박,모텔,2.8,20.3
숙박,기타숙박,2.8,0.4
자연관광,자연경관(산),2.7,37.5
자연관광,자연경관(하천/해양),2.7,7.1
자연관광,자연공원,2.7,55.4
역사관광,역사유적지,2.1,44.3
역사관광,종교성지,2.1,55.3
역사관광,역사유물,2.1,0.5
체험관광,농/산/어촌체험,0.7,98.1
체험관광,웰니스관광,0.7,1.9
