소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.2,0.8
60대,6.7,3.9
50대,14.2,9.2
40대,16.8,9.7
30대,15.2,8.9
20대,7.1,5.5
10대,0.1,0.1
