업종중분류명,현지인 검색비율,외지인 검색비율
음식,42.5,33.2
기타관광,21.8,21.0
쇼핑,11.6,19.3
문화관광,10.5,11.1
레저스포츠,6.0,9.2
숙박,3.1,2.9
역사관광,2.4,1.7
자연관광,1.7,1.4
체험관광,0.3,0.2
