국가명,비율(%)
중국,30.87
기타,20.83
일본,10.79
태국,8.38
베트남,4.98
인도네시아,4.23
미국,4.15
러시아,3.49
인도,3.07
필리핀,2.74
말레이시아,1.16
영국,1.16
캐나다,0.83
몽골,0.66
오스트레일리아,0.66
카자흐스탄,0.58
독일,0.5
프랑스,0.33
대만,0.17
싱가포르,0.17
튀르키예,0.08
멕시코,0.08
홍콩,0.08
아랍에미리트,0.0
사우디아라비아,0.0
