거리구분명,방문자수,방문자비율
30km 미만,1269320.0,43.31
30km 이상 70km 미만,1398180.0,47.71
70km 이상 140km 미만 ,134988.0,4.61
140km 이상 190km 미만,39162.0,1.34
190km 이상 240km 미만,17199.0,0.59
240km 이상 ,72023.0,2.46
