방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.2,1.8
60~69세,7.2,4.1
50~59세,13.1,7.9
40~49세,12.5,6.9
30~39세,10.9,7.3
20~29세,12.7,7.1
10~19세,2.9,2.0
0~9세,0.5,0.7
