지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,872.0,2.83
41113,수원시 권선구,1143.0,2.83
41115,수원시 팔달구,662.0,2.59
41117,수원시 영통구,914.0,2.9
41131,성남시 수정구,916.0,2.87
41133,성남시 중원구,1138.0,2.74
41135,성남시 분당구,884.0,2.95
41150,의정부시,1486.0,2.9
41171,안양시 만안구,1021.0,2.81
41173,안양시 동안구,1045.0,2.87
41190,부천시,1414.0,2.95
41210,광명시,785.0,2.82
41220,평택시,2511.0,2.99
41250,동두천시,1171.0,2.73
41271,안산시 상록구,1587.0,2.87
41273,안산시 단원구,1129.0,2.6
41281,고양시 덕양구,1015.0,2.94
41285,고양시 일산동구,871.0,2.9
41287,고양시 일산서구,877.0,2.85
41290,과천시,510.0,2.94
41310,구리시,673.0,2.85
41360,남양주시,1390.0,2.91
41370,오산시,1375.0,2.91
41390,시흥시,1205.0,2.83
41410,군포시,1287.0,2.92
41430,의왕시,639.0,2.83
41450,하남시,829.0,2.96
41461,용인시 처인구,1033.0,2.64
41463,용인시 기흥구,1057.0,2.95
41465,용인시 수지구,1289.0,2.95
41480,파주시,1236.0,2.81
41500,이천시,1264.0,2.88
41550,안성시,918.0,2.72
41570,김포시,1381.0,2.92
41590,화성시,1500.0,2.82
41610,광주시,1354.0,2.95
41630,양주시,1131.0,2.75
41650,포천시,1089.0,2.46
41670,여주시,1033.0,2.67
41800,연천군,1122.0,2.52
41820,가평군,935.0,2.25
41830,양평군,1022.0,2.47
