유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,13.4,36.2
기타관광,기타관광,13.4,63.8
레저스포츠,기타레저스포츠,8.8,8.6
레저스포츠,수상레저스포츠,8.8,4.4
레저스포츠,육상레저스포츠,8.8,87.0
문화관광,기타문화관광지,12.1,3.7
문화관광,도시/지역문화관광,12.1,0.1
문화관광,도시공원,12.1,43.2
문화관광,랜드마크관광,12.1,5.4
문화관광,복합관광시설,12.1,8.4
문화관광,테마공원,12.1,17.7
문화관광,레저스포츠시설,12.1,1.6
문화관광,공연시설,12.1,12.9
문화관광,전시시설,12.1,7.1
쇼핑,쇼핑몰,16.4,94.4
쇼핑,시장,16.4,4.3
쇼핑,기타쇼핑시설,16.4,1.3
숙박,기타숙박,4.6,0.0
숙박,모텔,4.6,29.3
숙박,펜션/민박,4.6,11.6
숙박,호스텔,4.6,2.9
숙박,호텔,4.6,23.7
숙박,캠핑,4.6,32.4
역사관광,역사유물,1.8,0.7
역사관광,역사유적지,1.8,34.1
역사관광,종교성지,1.8,65.2
음식,간이음식,41.3,9.3
음식,외국식,41.3,7.2
음식,음식점기타,41.3,0.3
음식,전문음식,41.3,17.0
음식,한식,41.3,35.0
음식,카페/찻집,41.3,31.2
자연관광,자연경관(하천/해양),1.1,26.3
자연관광,자연경관(산),1.1,32.8
자연관광,자연공원,1.1,40.9
체험관광,농/산/어촌체험,0.4,72.9
체험관광,웰니스관광,0.4,21.6
체험관광,공예체험,0.4,5.5
