업종중분류명,현지인 검색비율,외지인 검색비율
음식,50.7,38.7
기타관광,13.9,13.2
문화관광,11.7,12.2
쇼핑,11.3,17.9
레저스포츠,4.9,10.0
숙박,4.1,4.8
역사관광,1.6,1.8
자연관광,1.1,1.1
체험관광,0.6,0.3
