방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.6,2.5
60~69세,8.9,5.5
50~59세,12.6,8.4
40~49세,11.3,7.0
30~39세,10.6,7.5
20~29세,11.2,6.5
10~19세,2.4,1.9
0~9세,0.5,0.5
