국가명,비율(%)
기타,24.11
일본,13.4
중국,11.74
미국,7.52
태국,7.51
베트남,5.86
인도네시아,3.94
싱가포르,3.88
독일,3.11
인도,2.62
프랑스,2.12
필리핀,2.0
몽골,1.76
오스트레일리아,1.71
캐나다,1.68
대만,1.58
말레이시아,1.43
영국,1.32
러시아,0.8
홍콩,0.65
카자흐스탄,0.6
튀르키예,0.31
멕시코,0.18
사우디아라비아,0.14
아랍에미리트,0.04
