거리구분명,방문자수,방문자비율
30km 미만,2189817.0,42.2
30km 이상 70km 미만,2402934.0,46.31
70km 이상 140km 미만 ,257896.0,4.97
140km 이상 190km 미만,95366.0,1.84
190km 이상 240km 미만,45064.0,0.87
240km 이상 ,197782.0,3.81
