국가명,비율(%)
기타,25.91
중국,23.37
미국,13.38
필리핀,7.29
인도네시아,5.17
독일,3.25
일본,2.66
인도,2.49
프랑스,2.37
태국,2.28
베트남,2.25
캐나다,2.16
러시아,1.99
튀르키예,1.31
영국,1.09
말레이시아,0.71
싱가포르,0.64
멕시코,0.43
카자흐스탄,0.36
아랍에미리트,0.33
대만,0.31
사우디아라비아,0.14
몽골,0.05
홍콩,0.05
