유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,15.6,28.4
기타관광,기타관광,15.6,71.6
레저스포츠,기타레저스포츠,8.5,10.2
레저스포츠,수상레저스포츠,8.5,3.7
레저스포츠,육상레저스포츠,8.5,86.0
문화관광,기타문화관광지,12.5,3.3
문화관광,도시/지역문화관광,12.5,0.2
문화관광,도시공원,12.5,38.1
문화관광,랜드마크관광,12.5,4.7
문화관광,복합관광시설,12.5,11.6
문화관광,테마공원,12.5,22.8
문화관광,레저스포츠시설,12.5,1.9
문화관광,공연시설,12.5,11.0
문화관광,전시시설,12.5,6.4
쇼핑,쇼핑몰,18.2,94.9
쇼핑,시장,18.2,3.6
쇼핑,기타쇼핑시설,18.2,1.5
숙박,기타숙박,4.1,0.0
숙박,모텔,4.1,25.4
숙박,펜션/민박,4.1,8.3
숙박,호스텔,4.1,2.5
숙박,호텔,4.1,23.8
숙박,캠핑,4.1,39.9
역사관광,역사유물,1.7,0.7
역사관광,역사유적지,1.7,48.7
역사관광,종교성지,1.7,50.6
음식,간이음식,37.7,9.7
음식,외국식,37.7,6.3
음식,음식점기타,37.7,0.3
음식,전문음식,37.7,17.4
음식,한식,37.7,35.0
음식,카페/찻집,37.7,31.3
자연관광,자연경관(하천/해양),1.3,23.8
자연관광,자연경관(산),1.3,27.4
자연관광,자연공원,1.3,48.8
체험관광,농/산/어촌체험,0.3,81.5
체험관광,웰니스관광,0.3,16.4
체험관광,공예체험,0.3,2.1
