방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.6,2.5
60~69세,8.7,5.4
50~59세,13.3,8.7
40~49세,11.8,7.0
30~39세,10.7,7.3
20~29세,10.9,6.5
10~19세,2.1,1.6
0~9세,0.5,0.5
