업종중분류명,현지인 검색비율,외지인 검색비율
음식,48.4,35.5
기타관광,15.4,15.6
쇼핑,12.6,19.4
문화관광,10.9,12.8
레저스포츠,5.2,9.2
숙박,4.1,4.1
역사관광,1.8,1.7
자연관광,1.3,1.3
체험관광,0.4,0.3
