기준연월,동반유형명,언급건수
202011,기타가족,10548
202011,친구,4337
202011,회사동료,4055
202011,자녀,3991
202011,부모님,3593
202011,배우자,2459
202011,싱글,1742
202011,연인,1499
202011,학생,744
