소비자 연령,비율(남성),비율(여성)
80대,0.3,0.3
70대,1.4,0.9
60대,7.1,4.0
50대,15.8,9.3
40대,16.9,9.2
30대,15.0,7.9
20대,6.7,4.9
10대,0.1,0.1
