순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,통일전망대,202204,886,886.0
2,경기도,파주시,헤이리예술마을,202204,260,260.0
3,경기도,파주시,황포돛배,202204,34,34.0
4,경기도,파주시,율곡선생유적지,202204,16,16.0
5,경기도,파주시,우농타조농장,202204,5,5.0
6,경기도,파주시,파주장릉,202204,3,3.0
