순위,관광지ID,관광지명,분류
82,691986151003cbae1ec71980aee1d276,돌산캠핑장,캠핑
82,1aabc6f644c6f6a94ca0b88aceb07cfd,마장호수공원,도시공원
84,0f3d8c6ee51560fd404daedea8769c74,황포돛배나루터,기타관광
85,4550db001612984b8a9659c0623e1bec,광탄시장,시장
85,c821a7f19ce56bc0a7cd7777a19835b1,파주팜랜드,기타관광
87,9ab8244fd569190adba6571db9b466be,임진리낚시터,수상레저스포츠
87,0c6095f0d9f62f7b39aa1e14cd72a2ba,광탄낚시레저타운,수상레저스포츠
89,e8a59e615752b49be6eac5e5f6ed1154,파인빌골프클럽,육상레저스포츠
90,046c8d92a8e2298c2f5755a455d64149,평화랜드,테마공원
91,ea9af19872ea6f89502ae63c8b83367a,명필름아트센터,기타문화관광지
92,e9f42735eb7b23daadffee64c70dc06d,파만장,기타레저스포츠
93,f2dbffe216649228996985ee43f80ba2,살래텃밭,농/산/어촌체험
94,fecd9849410ecc9e0090ee03c761347f,화석정,역사유적지
95,e2ef2bf062004358fc41066d7e6b9918,마리호텔,호텔
96,e67deaf01a9701b10aa720c56e25f294,금촌청소년문화의집,기타문화관광지
96,33ef3f78240dadd22b84766d3f98ab43,골든힐호텔,호텔
98,76ccdc041552cc998cd5d20ec5ae4335,따봉캠핑장,캠핑
98,d80e1b8c379a799fdd353e52749a83a6,미즈호텔,모텔
100,91d10c23191ef97428aee613b4f2e677,장산전망대,랜드마크관광
