언어명,관광지명,구분
중간체,板门店판문점,역사관광지
중간체,Heyri艺术村(헤이리 예술마을),체험관광지
중간체,碧草池树木园(벽초지수목원),자연관광지
중간체,乌头山统一眺望台(오두산 통일전망대),건축/조형물
중간체,都罗山站(도라산역),역사관광지
중간체,京畿道坡州英语村(경기영어마을 파주캠프),체험관광지
중간체,普罗旺斯村(프로방스 마을),체험관광지
중간체,坡州李珥遗址(파주이이유적),역사관광지
중간체,花石亭화석정,역사관광지
