순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202103,75983,75983.0
2,경기도,파주시,헤이리예술마을,202103,26400,26400.0
3,경기도,파주시,퍼스트가든,202103,17503,17503.0
4,경기도,파주시,공릉관광지(하니랜드),202103,8961,8961.0
5,경기도,파주시,서서울컨트리클럽,202103,8915,8915.0
6,경기도,파주시,벽초지수목원,202103,8707,8707.0
7,경기도,파주시,서원밸리골프클럽,202103,8113,8113.0
8,경기도,파주시,통일전망대,202103,6728,6728.0
9,경기도,파주시,황희선생유적지,202103,3290,3290.0
10,경기도,파주시,파주삼릉,202103,2958,2958.0
11,경기도,파주시,율곡선생유적지,202103,2947,2947.0
12,경기도,파주시,경기미래교육 파주캠퍼스,202103,2537,2537.0
13,경기도,파주시,베스트밸리,202103,2235,2235.0
14,경기도,파주시,우농타조농장,202103,1838,1838.0
15,경기도,파주시,파주장릉,202103,1530,1530.0
16,경기도,파주시,소울원,202103,1328,1328.0
17,경기도,파주시,제3땅굴,202103,715,715.0
18,경기도,파주시,황포돛배,202103,662,662.0
19,경기도,파주시,쇠꼴마을,202103,372,372.0
20,경기도,파주시,산머루농원,202103,230,230.0
21,경기도,파주시,영집궁시박물관,202103,98,98.0
22,경기도,파주시,두루뫼박물관,202103,76,76.0
