방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.7,2.6
60~69세,8.9,5.5
50~59세,13.3,8.1
40~49세,11.7,6.6
30~39세,10.5,6.9
20~29세,11.9,5.9
10~19세,2.3,1.9
0~9세,0.6,0.6
