국가명,비율(%)
기타,29.52
미국,11.2
태국,11.16
중국,10.51
인도네시아,5.71
싱가포르,4.52
일본,4.24
프랑스,2.77
베트남,2.73
독일,2.45
필리핀,2.36
캐나다,2.36
영국,2.06
오스트레일리아,1.71
인도,1.51
말레이시아,1.16
러시아,1.16
카자흐스탄,0.97
튀르키예,0.87
멕시코,0.36
사우디아라비아,0.16
몽골,0.15
대만,0.13
홍콩,0.12
아랍에미리트,0.1
