업종중분류명,현지인 검색비율,외지인 검색비율
음식,50.9,39.4
기타관광,13.3,13.2
문화관광,12.4,13.3
쇼핑,10.7,16.4
레저스포츠,5.2,10.0
숙박,4.0,4.7
역사관광,1.8,1.7
자연관광,1.3,1.1
체험관광,0.5,0.3
