거리구분명,방문자수,방문자비율
30km 미만,1795952.0,43.27
30km 이상 70km 미만,1889657.0,45.53
70km 이상 140km 미만 ,200172.0,4.82
140km 이상 190km 미만,79440.0,1.91
190km 이상 240km 미만,38878.0,0.94
240km 이상 ,146290.0,3.52
