유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,13.2,33.8
기타관광,기타관광,13.2,66.2
레저스포츠,기타레저스포츠,9.0,7.7
레저스포츠,수상레저스포츠,9.0,3.3
레저스포츠,육상레저스포츠,9.0,89.0
문화관광,기타문화관광지,13.1,3.8
문화관광,도시/지역문화관광,13.1,0.0
문화관광,도시공원,13.1,35.3
문화관광,랜드마크관광,13.1,4.5
문화관광,복합관광시설,13.1,8.7
문화관광,테마공원,13.1,24.5
문화관광,레저스포츠시설,13.1,1.5
문화관광,공연시설,13.1,16.1
문화관광,전시시설,13.1,5.6
쇼핑,쇼핑몰,15.2,94.4
쇼핑,시장,15.2,4.3
쇼핑,기타쇼핑시설,15.2,1.3
숙박,기타숙박,4.5,0.0
숙박,모텔,4.5,29.1
숙박,펜션/민박,4.5,12.2
숙박,호스텔,4.5,2.7
숙박,호텔,4.5,22.9
숙박,캠핑,4.5,33.0
역사관광,역사유물,1.7,0.8
역사관광,역사유적지,1.7,33.2
역사관광,종교성지,1.7,66.0
음식,간이음식,41.8,8.9
음식,외국식,41.8,6.5
음식,음식점기타,41.8,0.3
음식,전문음식,41.8,17.7
음식,한식,41.8,36.5
음식,카페/찻집,41.8,30.2
자연관광,자연경관(하천/해양),1.2,23.6
자연관광,자연경관(산),1.2,33.2
자연관광,자연공원,1.2,43.2
체험관광,농/산/어촌체험,0.3,75.6
체험관광,웰니스관광,0.3,21.4
체험관광,공예체험,0.3,2.9
