업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,4402,5168,-14.8,22130,29122,-24.0
레저스포츠,3037,3125,-2.8,22130,29122,-24.0
문화관광,2549,2980,-14.5,22130,29122,-24.0
쇼핑,260,5609,-95.4,22130,29122,-24.0
숙박,935,1096,-14.7,22130,29122,-24.0
역사관광,819,951,-13.9,22130,29122,-24.0
음식,9554,9470,0.9,22130,29122,-24.0
자연관광,418,590,-29.2,22130,29122,-24.0
체험관광,156,133,17.3,22130,29122,-24.0
