업종중분류명,업체명,방문자수,순위
음식,옐로커피,32.0,1
음식,일산칼국수/본점,26.0,2
음식,가나안덕/일산본점,25.0,3
음식,설문커피,23.0,4
음식,양수면옥,19.0,5
음식,포레스트아웃팅스/일산,17.0,6
음식,본갈비,16.0,7
음식,맥도날드/중산DT점,16.0,8
음식,우리동네가든,14.0,9
음식,돈까스클럽/일산동구점,14.0,10
쇼핑,코스트코홀세일/일산점,145.0,1
쇼핑,라페스타,140.0,2
쇼핑,이마트/풍산점,56.0,3
쇼핑,벨라시타,56.0,4
쇼핑,뉴코아아울렛/일산점,42.0,5
쇼핑,롯데백화점/일산점,41.0,6
쇼핑,롯데아울렛/고양터미널점,26.0,7
쇼핑,홈플러스/고양터미널점,18.0,8
쇼핑,홈플러스/일산점,14.0,9
쇼핑,해태쇼핑타운,9.0,10
문화관광,일산호수공원,52.0,1
문화관광,CGV/일산,17.0,2
문화관광,CJ라이브시티/아레나 건축중(2024년 준공예정),9.0,3
문화관광,고양아람누리,8.0,4
문화관광,중산체육공원,6.0,5
문화관광,정발산공원,4.0,6
문화관광,밤가시공원,4.0,7
문화관광,메가박스/백석,3.0,8
문화관광,지영체육공원,3.0,9
문화관광,롯데시네마/라페스타,2.0,10
