유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,55.3,10.8
음식,외국식,55.3,8.6
음식,음식점기타,55.3,0.2
음식,전문음식,55.3,18.7
음식,카페/찻집,55.3,32.2
음식,한식,55.3,29.4
쇼핑,기타쇼핑시설,18.7,2.2
쇼핑,쇼핑몰,18.7,95.4
쇼핑,시장,18.7,2.4
문화관광,공연시설,8.7,37.0
문화관광,기타문화관광지,8.7,4.5
문화관광,도시공원,8.7,33.3
문화관광,랜드마크관광,8.7,3.3
문화관광,레저스포츠시설,8.7,4.1
문화관광,복합관광시설,8.7,7.1
문화관광,전시시설,8.7,7.6
문화관광,테마공원,8.7,3.2
기타관광,기타관광,8.3,100.0
기타관광,교통시설,8.3,0.0
숙박,캠핑,3.6,31.9
숙박,호텔,3.6,41.0
숙박,호스텔,3.6,0.1
숙박,펜션/민박,3.6,0.1
숙박,콘도미니엄,3.6,1.2
숙박,모텔,3.6,25.3
숙박,기타숙박,3.6,0.4
레저스포츠,육상레저스포츠,3.3,93.3
레저스포츠,수상레저스포츠,3.3,5.7
레저스포츠,기타레저스포츠,3.3,1.1
역사관광,역사유적지,1.1,31.5
역사관광,종교성지,1.1,68.5
자연관광,자연경관(산),0.7,72.6
자연관광,자연경관(하천/해양),0.7,5.3
자연관광,자연공원,0.7,22.1
체험관광,농/산/어촌체험,0.3,96.7
체험관광,웰니스관광,0.3,3.3
