업종중분류명,업체명,방문자수,순위
음식,더티트렁크,34.0,1
음식,스타벅스/파주야당DT점,30.0,2
음식,말똥도넛,30.0,3
음식,뮌스터담,29.0,4
음식,앤드테라스/파주점,24.0,5
음식,평양손만두/파주운정점,18.0,6
음식,키누카누/파주야당점,13.0,7
음식,이삭토스트 파주운정이마트점,12.0,8
음식,스타벅스/파주야당역점,11.0,9
음식,브릭루즈,9.0,10
쇼핑,신세계프리미엄아울렛/파주점,264.0,1
쇼핑,롯데프리미엄아울렛/파주점,184.0,2
쇼핑,이마트/파주운정점,80.0,3
쇼핑,홈플러스/파주운정점,65.0,4
쇼핑,이마트/파주점,18.0,5
쇼핑,운정가구타운,14.0,6
쇼핑,홈플러스/파주문산점,6.0,7
쇼핑,금촌전통시장,4.0,8
쇼핑,금촌통일시장,2.0,9
쇼핑,신세계팩토리스토어/파주점,2.0,10
문화관광,운정호수공원,16.0,1
문화관광,자유로자동차극장,14.0,2
문화관광,CGV/파주야당,12.0,3
문화관광,메가박스/파주운정,9.0,4
문화관광,CJ ENM스튜디오센터,9.0,5
문화관광,평화누리,6.0,6
문화관광,퍼스트가든,6.0,7
문화관광,운정건강공원,4.0,8
문화관광,롯데시네마/파주운정,4.0,9
문화관광,오두산통일전망대,4.0,10
