유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,46.2,9.9
음식,외국식,46.2,8.9
음식,음식점기타,46.2,0.3
음식,전문음식,46.2,18.7
음식,카페/찻집,46.2,28.9
음식,한식,46.2,33.4
쇼핑,시장,17.4,2.4
쇼핑,쇼핑몰,17.4,95.3
쇼핑,기타쇼핑시설,17.4,2.3
기타관광,기타관광,11.7,100.0
문화관광,전시시설,11.4,5.1
문화관광,테마공원,11.4,7.6
문화관광,복합관광시설,11.4,10.4
문화관광,레저스포츠시설,11.4,3.0
문화관광,랜드마크관광,11.4,3.1
문화관광,도시공원,11.4,48.4
문화관광,도시/지역문화관광,11.4,0.2
문화관광,기타문화관광지,11.4,4.4
문화관광,공연시설,11.4,17.6
레저스포츠,육상레저스포츠,5.9,93.0
레저스포츠,수상레저스포츠,5.9,5.8
레저스포츠,기타레저스포츠,5.9,1.2
숙박,캠핑,2.8,48.3
숙박,호텔,2.8,24.6
숙박,호스텔,2.8,0.1
숙박,콘도미니엄,2.8,1.3
숙박,모텔,2.8,25.4
숙박,기타숙박,2.8,0.3
자연관광,자연경관(산),2.2,33.0
자연관광,자연경관(하천/해양),2.2,6.7
자연관광,자연공원,2.2,60.3
역사관광,역사유적지,1.7,28.6
역사관광,종교성지,1.7,71.2
역사관광,역사유물,1.7,0.3
체험관광,농/산/어촌체험,0.6,98.4
체험관광,웰니스관광,0.6,1.6
