소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.1,0.8
60대,5.5,3.7
50대,13.3,8.7
40대,16.6,10.5
30대,15.8,10.2
20대,7.4,5.6
10대,0.1,0.1
