순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,통일전망대,202007,47,47.0
2,경기도,파주시,벽초지수목원,202007,18,18.0
3,경기도,파주시,우농타조농장,202007,13,13.0
4,경기도,파주시,소울원,202007,8,8.0
5,경기도,파주시,황포돛배,202007,4,4.0
