순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202007,92699,92699.0
2,경기도,파주시,헤이리예술마을,202007,62300,62300.0
3,경기도,파주시,벽초지수목원,202007,21589,21589.0
4,경기도,파주시,서서울컨트리클럽,202007,10955,10955.0
5,경기도,파주시,서원밸리골프클럽,202007,8509,8509.0
6,경기도,파주시,공릉관광지(하니랜드),202007,7273,7273.0
7,경기도,파주시,소울원,202007,5445,5445.0
8,경기도,파주시,통일전망대,202007,5247,5247.0
9,경기도,파주시,황희선생유적지,202007,4366,4366.0
10,경기도,파주시,베스트밸리,202007,3113,3113.0
11,경기도,파주시,우농타조농장,202007,2723,2723.0
12,경기도,파주시,경기미래교육 파주캠퍼스,202007,2388,2388.0
13,경기도,파주시,율곡선생유적지,202007,2182,2182.0
14,경기도,파주시,황포돛배,202007,1466,1466.0
15,경기도,파주시,영집궁시박물관,202007,1192,1192.0
16,경기도,파주시,파주삼릉,202007,958,958.0
17,경기도,파주시,파주장릉,202007,627,627.0
18,경기도,파주시,쇠꼴마을,202007,380,380.0
19,경기도,파주시,산머루농원,202007,186,186.0
20,경기도,파주시,두루뫼박물관,202007,113,113.0
