소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.2,0.8
60대,6.6,3.9
50대,14.7,9.0
40대,17.2,9.9
30대,15.3,9.5
20대,6.1,5.0
10대,0.1,0.1
