방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.4,2.1
60~69세,7.5,4.4
50~59세,13.4,8.5
40~49세,12.3,7.3
30~39세,10.9,7.4
20~29세,11.4,6.7
10~19세,2.6,2.0
0~9세,0.6,0.6
