유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,18.4,25.0
기타관광,기타관광,18.4,75.0
레저스포츠,기타레저스포츠,9.2,2.5
레저스포츠,수상레저스포츠,9.2,3.6
레저스포츠,육상레저스포츠,9.2,94.0
문화관광,기타문화관광지,11.3,1.6
문화관광,도시공원,11.3,48.7
문화관광,랜드마크관광,11.3,7.2
문화관광,복합관광시설,11.3,6.6
문화관광,테마공원,11.3,20.9
문화관광,레저스포츠시설,11.3,3.3
문화관광,공연시설,11.3,8.4
문화관광,전시시설,11.3,3.4
쇼핑,쇼핑몰,20.1,94.9
쇼핑,시장,20.1,2.5
쇼핑,기타쇼핑시설,20.1,2.6
숙박,모텔,3.3,20.4
숙박,펜션/민박,3.3,12.8
숙박,호스텔,3.3,2.4
숙박,호텔,3.3,10.8
숙박,캠핑,3.3,53.6
역사관광,역사유물,2.2,1.6
역사관광,역사유적지,2.2,45.7
역사관광,종교성지,2.2,52.7
음식,간이음식,33.8,9.3
음식,외국식,33.8,6.7
음식,음식점기타,33.8,0.3
음식,전문음식,33.8,18.0
음식,한식,33.8,36.3
음식,카페/찻집,33.8,29.4
자연관광,자연경관(하천/해양),1.5,34.2
자연관광,자연경관(산),1.5,40.4
자연관광,자연공원,1.5,25.4
체험관광,농/산/어촌체험,0.3,71.5
체험관광,웰니스관광,0.3,25.4
체험관광,공예체험,0.3,3.1
