업종중분류명,현지인 검색비율,외지인 검색비율
음식,43.6,32.4
기타관광,19.1,18.3
쇼핑,12.4,21.2
문화관광,10.6,11.4
레저스포츠,5.8,9.7
숙박,3.6,3.2
역사관광,2.7,2.1
자연관광,1.9,1.5
체험관광,0.4,0.3
