방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.0,1.9
60~69세,7.3,4.1
50~59세,13.2,7.8
40~49세,12.4,7.2
30~39세,10.9,6.7
20~29세,12.9,6.9
10~19세,3.0,2.5
0~9세,0.6,0.7
