거리구분명,방문자수,방문자비율
30km 미만,1042458.0,44.02
30km 이상 70km 미만,1078931.0,45.56
70km 이상 140km 미만 ,116700.0,4.93
140km 이상 190km 미만,38342.0,1.62
190km 이상 240km 미만,18882.0,0.8
240km 이상 ,72583.0,3.07
