업종중분류명,현지인 검색비율,외지인 검색비율
음식,47.3,36.9
기타관광,21.7,18.9
쇼핑,11.9,21.4
문화관광,8.8,9.4
레저스포츠,4.4,7.1
숙박,3.1,3.4
역사관광,1.6,1.7
자연관광,0.9,0.9
체험관광,0.3,0.2
