국가명,비율(%)
중국,34.01
일본,17.35
태국,12.99
기타,10.64
인도네시아,3.65
베트남,3.18
대만,3.13
미국,2.94
말레이시아,1.72
러시아,1.66
필리핀,1.53
인도,1.47
홍콩,1.14
독일,0.79
오스트레일리아,0.77
캐나다,0.71
영국,0.6
몽골,0.52
싱가포르,0.47
카자흐스탄,0.34
프랑스,0.18
튀르키예,0.13
멕시코,0.04
아랍에미리트,0.02
사우디아라비아,0.02
