유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,19.4,40.4
기타관광,기타관광,19.4,59.6
레저스포츠,기타레저스포츠,6.7,3.6
레저스포츠,수상레저스포츠,6.7,3.8
레저스포츠,육상레저스포츠,6.7,92.6
문화관광,기타문화관광지,9.3,2.9
문화관광,도시공원,9.3,36.7
문화관광,랜드마크관광,9.3,8.4
문화관광,복합관광시설,9.3,4.5
문화관광,테마공원,9.3,8.2
문화관광,레저스포츠시설,9.3,3.6
문화관광,공연시설,9.3,29.7
문화관광,전시시설,9.3,6.0
쇼핑,쇼핑몰,19.9,93.6
쇼핑,시장,19.9,3.2
쇼핑,기타쇼핑시설,19.9,3.2
숙박,모텔,3.4,32.5
숙박,펜션/민박,3.4,14.4
숙박,호스텔,3.4,3.8
숙박,호텔,3.4,20.9
숙박,캠핑,3.4,28.4
역사관광,역사유물,1.7,0.3
역사관광,역사유적지,1.7,35.9
역사관광,종교성지,1.7,63.8
음식,간이음식,38.5,10.3
음식,외국식,38.5,7.0
음식,음식점기타,38.5,0.3
음식,전문음식,38.5,18.4
음식,한식,38.5,33.1
음식,카페/찻집,38.5,30.9
자연관광,자연경관(산),0.9,43.7
자연관광,자연경관(하천/해양),0.9,41.4
자연관광,자연공원,0.9,14.9
체험관광,농/산/어촌체험,0.3,43.7
체험관광,웰니스관광,0.3,50.7
체험관광,공예체험,0.3,5.6
