성/연령,지역명,비율
50대 남성,경기도 광명시,10.6
40대 남성,경기도 광명시,10.5
30대 남성,경기도 광명시,10.3
50대 여성,경기도 광명시,9.6
20대 남성,경기도 광명시,8.7
40대 여성,경기도 광명시,8.6
30대 여성,경기도 광명시,8.3
20대 여성,경기도 광명시,7.9
60대 남성,경기도 광명시,6.5
60대 여성,경기도 광명시,5.9
10대 남성,경기도 광명시,3.6
10대 여성,경기도 광명시,3.5
70대 이상 남성,경기도 광명시,2.5
70대 이상 여성,경기도 광명시,2.4
10대 미만 여성,경기도 광명시,0.6
10대 미만 남성,경기도 광명시,0.5
