유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,43.0,17.0
음식,외국식,43.0,9.5
음식,음식점기타,43.0,0.2
음식,전문음식,43.0,20.0
음식,카페/찻집,43.0,20.9
음식,한식,43.0,32.4
쇼핑,시장,21.2,2.3
쇼핑,쇼핑몰,21.2,94.6
쇼핑,기타쇼핑시설,21.2,3.0
기타관광,기타관광,13.6,100.0
문화관광,테마공원,10.2,3.6
문화관광,전시시설,10.2,2.9
문화관광,복합관광시설,10.2,7.8
문화관광,레저스포츠시설,10.2,2.5
문화관광,랜드마크관광,10.2,2.5
문화관광,도시공원,10.2,51.0
문화관광,기타문화관광지,10.2,5.4
문화관광,공연시설,10.2,24.4
레저스포츠,육상레저스포츠,4.5,86.2
레저스포츠,수상레저스포츠,4.5,10.6
레저스포츠,기타레저스포츠,4.5,3.2
숙박,캠핑,3.9,41.6
숙박,호텔,3.9,33.1
숙박,콘도미니엄,3.9,1.2
숙박,모텔,3.9,24.0
숙박,기타숙박,3.9,0.2
역사관광,종교성지,1.8,69.2
역사관광,역사유적지,1.8,30.4
역사관광,역사유물,1.8,0.5
자연관광,자연경관(산),1.5,60.8
자연관광,자연경관(하천/해양),1.5,11.2
자연관광,자연공원,1.5,28.0
체험관광,농/산/어촌체험,0.3,96.0
체험관광,웰니스관광,0.3,4.0
