업종중분류명,현지인 검색비율,외지인 검색비율
음식,59.1,45.2
기타관광,12.0,11.7
쇼핑,11.8,22.3
문화관광,8.9,8.9
숙박,4.0,5.8
레저스포츠,2.5,4.1
역사관광,0.9,1.1
자연관광,0.4,0.5
체험관광,0.4,0.3
