유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,11.8,48.1
기타관광,기타관광,11.8,51.9
레저스포츠,기타레저스포츠,3.7,8.8
레저스포츠,수상레저스포츠,3.7,7.6
레저스포츠,육상레저스포츠,3.7,83.6
문화관광,기타문화관광지,8.9,8.0
문화관광,도시/지역문화관광,8.9,0.0
문화관광,도시공원,8.9,25.2
문화관광,랜드마크관광,8.9,5.8
문화관광,복합관광시설,8.9,8.6
문화관광,테마공원,8.9,13.9
문화관광,레저스포츠시설,8.9,1.3
문화관광,공연시설,8.9,28.6
문화관광,전시시설,8.9,8.8
쇼핑,쇼핑몰,19.3,95.1
쇼핑,시장,19.3,3.8
쇼핑,기타쇼핑시설,19.3,1.1
숙박,기타숙박,5.3,0.1
숙박,모텔,5.3,32.5
숙박,펜션/민박,5.3,13.5
숙박,호스텔,5.3,3.2
숙박,호텔,5.3,26.4
숙박,캠핑,5.3,24.4
역사관광,역사유물,1.1,1.4
역사관광,역사유적지,1.1,26.7
역사관광,종교성지,1.1,71.9
음식,간이음식,49.2,11.6
음식,외국식,49.2,8.1
음식,음식점기타,49.2,0.3
음식,전문음식,49.2,18.1
음식,한식,49.2,32.1
음식,카페/찻집,49.2,29.8
자연관광,자연경관(산),0.5,43.8
자연관광,자연경관(하천/해양),0.5,28.9
자연관광,자연공원,0.5,27.3
체험관광,농/산/어촌체험,0.4,59.3
체험관광,웰니스관광,0.4,33.6
체험관광,공예체험,0.4,7.1
