국가명,비율(%)
기타,15.73
일본,15.32
태국,14.39
싱가포르,9.34
중국,8.63
인도네시아,5.21
미국,4.81
대만,4.33
베트남,3.12
말레이시아,2.7
오스트레일리아,2.61
필리핀,2.48
홍콩,2.3
몽골,1.9
인도,1.3
캐나다,1.22
독일,1.1
프랑스,1.02
러시아,0.76
영국,0.67
카자흐스탄,0.52
튀르키예,0.24
멕시코,0.15
사우디아라비아,0.08
아랍에미리트,0.07
