방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.4,2.3
60~69세,8.9,5.2
50~59세,13.0,7.6
40~49세,11.2,6.1
30~39세,10.9,6.8
20~29세,13.8,6.9
10~19세,2.3,1.8
0~9세,0.4,0.4
