소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.4,0.9
60대,7.2,4.1
50대,14.9,8.9
40대,17.2,9.6
30대,14.9,9.3
20대,6.2,4.7
10대,0.1,0.1
