순위,분류,관련 키워드,언급건수
250,자녀,외아들,2
250,기타가족,시누이,2
250,자녀,저희애,2
250,부모님,양가부모님,2
250,기타가족,숙모,2
250,배우자,낭군님,2
250,자녀,첫째아들,2
250,기타가족,울언니,2
250,배우자,남의편,2
250,부모님,시아부지,2
250,자녀,차녀,2
250,싱글,나홀로족,2
271,기타가족,사돈댁,1
271,기타가족,작은며느리,1
271,부모님,어머니아버지,1
271,자녀,우리집애,1
271,자녀,제아이,1
271,친구,여사친,1
271,기타가족,맏사위,1
271,배우자,애아빠,1
271,배우자,우리와이프,1
271,자녀,딸자식,1
271,자녀,첫째아기,1
271,자녀,초보엄마,1
271,배우자,아자씨,1
271,기타가족,며늘아기,1
271,부모님,친정엄니,1
271,회사동료,회사선배,1
271,부모님,할배,1
271,싱글,혼행,1
271,학생,초4,1
271,기타가족,며늘,1
271,기타가족,시댁어른,1
271,부모님,시어른,1
271,연인,썸녀,1
271,기타가족,큰며느리,1
271,배우자,울와이프,1
271,부모님,할버지,1
271,싱글,싱글족,1
271,자녀,첫아가,1
271,친구,룸메이트,1
271,부모님,시압지,1
271,자녀,첫딸,1
271,부모님,시아빠,1
271,부모님,할마,1
271,싱글,독신,1
271,자녀,둥이들,1
271,기타가족,외손녀,1
271,배우자,애기아빠,1
271,부모님,할아버님,1
271,배우자,울서방,1
271,자녀,외동아들,1
271,회사동료,직장상사,1
271,기타가족,육촌,1
