성/연령,지역명,비율
20대 남성,강원특별자치도 홍천군,13.1
50대 남성,강원특별자치도 홍천군,9.7
40대 남성,강원특별자치도 홍천군,9.1
50대 여성,강원특별자치도 홍천군,8.4
30대 남성,강원특별자치도 홍천군,8.3
60대 남성,강원특별자치도 홍천군,7.6
20대 여성,강원특별자치도 홍천군,7.5
40대 여성,강원특별자치도 홍천군,7.5
30대 여성,강원특별자치도 홍천군,7.0
60대 여성,강원특별자치도 홍천군,6.3
10대 남성,강원특별자치도 홍천군,5.1
10대 여성,강원특별자치도 홍천군,3.7
70대 이상 남성,강원특별자치도 홍천군,2.6
70대 이상 여성,강원특별자치도 홍천군,2.4
10대 미만 여성,강원특별자치도 홍천군,0.9
10대 미만 남성,강원특별자치도 홍천군,0.8
