업종중분류명,지역명,비율
음식,광주광역시 남구,65.6
문화관광,광주광역시 남구,7.7
기타관광,광주광역시 남구,7.4
숙박,광주광역시 남구,7.2
쇼핑,광주광역시 남구,5.5
레저스포츠,광주광역시 남구,4.5
역사관광,광주광역시 남구,2.0
자연관광,광주광역시 남구,0.1
