업종중분류명,현지인 검색비율,외지인 검색비율
음식,44.9,34.0
기타관광,19.3,18.2
쇼핑,14.3,22.9
문화관광,10.0,11.6
레저스포츠,4.0,6.0
숙박,3.9,4.2
역사관광,1.9,1.9
자연관광,1.2,1.1
체험관광,0.4,0.3
