국가명,비율(%)
중국,30.32
기타,22.17
미국,9.26
인도네시아,7.75
필리핀,7.28
인도,5.85
베트남,2.73
러시아,2.15
독일,1.94
일본,1.65
프랑스,1.44
태국,1.33
카자흐스탄,1.29
튀르키예,1.04
말레이시아,1.0
캐나다,0.75
영국,0.68
몽골,0.68
멕시코,0.36
대만,0.14
사우디아라비아,0.07
아랍에미리트,0.04
싱가포르,0.04
홍콩,0.04
