방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.3,2.2
60~69세,7.5,4.6
50~59세,12.6,8.2
40~49세,12.0,7.1
30~39세,11.2,7.6
20~29세,11.3,7.3
10~19세,2.6,2.1
0~9세,0.7,0.7
