기준연월,목적지 유형,목적지 검색량
202102,전체,489469
202102,숙박,20128
202102,음식,174411
202102,기타관광,89736
202102,문화관광,55418
202102,쇼핑,105564
202102,자연관광,5353
202102,역사관광,9349
202102,체험관광,1702
202102,레저스포츠,27808
