유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,18.3,29.8
기타관광,기타관광,18.3,70.2
레저스포츠,기타레저스포츠,5.7,7.5
레저스포츠,수상레저스포츠,5.7,6.1
레저스포츠,육상레저스포츠,5.7,86.4
문화관광,도시/지역문화관광,11.3,0.0
문화관광,기타문화관광지,11.3,2.8
문화관광,도시공원,11.3,43.1
문화관광,랜드마크관광,11.3,6.2
문화관광,복합관광시설,11.3,9.4
문화관광,테마공원,11.3,13.9
문화관광,레저스포츠시설,11.3,2.1
문화관광,공연시설,11.3,16.2
문화관광,전시시설,11.3,6.2
쇼핑,쇼핑몰,21.6,94.2
쇼핑,시장,21.6,3.8
쇼핑,기타쇼핑시설,21.6,1.9
숙박,기타숙박,4.1,0.1
숙박,모텔,4.1,25.4
숙박,펜션/민박,4.1,12.6
숙박,호스텔,4.1,3.3
숙박,호텔,4.1,21.7
숙박,캠핑,4.1,37.0
역사관광,역사유물,1.9,1.0
역사관광,역사유적지,1.9,37.3
역사관광,종교성지,1.9,61.7
음식,간이음식,35.6,14.0
음식,외국식,35.6,7.4
음식,음식점기타,35.6,0.4
음식,전문음식,35.6,17.2
음식,한식,35.6,31.5
음식,카페/찻집,35.6,29.5
자연관광,자연경관(하천/해양),1.1,34.4
자연관광,자연경관(산),1.1,44.7
자연관광,자연공원,1.1,20.9
체험관광,농/산/어촌체험,0.3,73.6
체험관광,웰니스관광,0.3,23.4
체험관광,공예체험,0.3,3.0
